participant_id,condition,typed_chars,pasted_chars,typed_share,n_typing_bursts,typing_duration_s,n_paste_events,prop_pages_with_writing,writing_gini,first_writing_page,first_writing_time_s,final_answer_length,seq_time_mean_run_explore,seq_time_mean_run_exploit,seq_time_max_run,seq_time_entropy,seq_time_lag1_autocorr,seq_topic_mean_run_explore,seq_topic_mean_run_exploit,seq_topic_max_run,seq_topic_entropy,seq_topic_lag1_autocorr,seq_typing_mean_run_explore,seq_typing_mean_run_exploit,seq_typing_max_run,seq_typing_entropy,seq_typing_lag1_autocorr
123,diffuse,806.0,0.0,1.0,9.0,123.52599999999993,0.0,0.2857142857142857,0.7369727047146402,6.0,102.823,794.0,5.0,2.0,5.0,0.863120568566631,,1.0,2.5,4.0,0.863120568566631,,5.0,2.0,5.0,0.863120568566631,
124,diffuse,279.5,0.0,1.0,4.0,62.66550000000005,0.0,0.25,0.75,4.0,217.66750000000002,276.0,2.5,1.5,2.5,0.9056390622295665,,2.0,2.0,3.0,0.8112781244591328,,3.0,1.0,3.0,0.8112781244591328,
126,diffuse,203.0,1924.5,0.5,2.5,74.62499999999991,2.5,0.2857142857142857,0.7761941877296514,4.0,120.70150000000001,1132.0,2.0,1.5,2.5,0.9241743523004413,,2.0,1.25,2.5,0.9852281360342515,,2.5,1.25,3.0,0.7884504573082896,
128,diffuse,287.0,0.0,1.0,4.0,100.53799999999995,0.0,0.3333333333333333,0.6666666666666666,2.0,101.309,286.0,1.0,1.0,1.0,0.9182958340544896,,,3.0,3.0,0.0,,1.0,1.0,1.0,0.9182958340544896,
129,clumpy,3.5,3041.0,0.0010944763038030615,2.0,12.908999999999935,3.0,0.2833333333333333,0.7536175892995336,2.5,165.3665,3044.5,1.8333333333333333,2.6666666666666665,4.0,0.8201119644709259,,3.25,2.25,3.5,0.9754096755529107,,4.0,1.5,4.5,0.8104865080515113,
130,clumpy,14.0,2538.0,0.0054858934169279,3.0,73.02899999999997,9.0,1.0,0.1810344827586207,1.0,58.128,2551.0,1.0,1.0,1.0,0.9182958340544896,,2.0,1.0,2.0,0.9182958340544896,,,3.0,3.0,0.0,
131,diffuse,84.5,511.0,0.1174095883857326,3.5,52.98549999999999,2.5,0.625,0.588763001376182,1.0,39.297,396.0,1.0,2.75,3.0,0.4056390622295664,,2.0,2.0,3.0,0.8112781244591328,,1.5,2.0,2.0,1.0,
132,clumpy,248.0,0.0,1.0,6.0,135.93099999999987,0.0,0.2,0.8,4.0,287.814,244.0,1.0,1.5,2.0,0.9709505944546686,,4.0,1.0,4.0,0.7219280948873623,,2.0,1.0,3.0,0.7219280948873623,
133,diffuse,40.0,436.5,0.07861952861952862,1.5,6.747499999999974,3.0,0.45,0.7567971380471381,2.0,80.77350000000001,476.0,2.0,2.0,3.0,0.8911143594569007,,2.5,1.25,3.0,0.7666031096732475,,3.0,1.5,3.0,0.8609640474436812,
135,diffuse,677.0,0.0,1.0,8.0,119.0320000000001,0.0,0.625,0.5758862629246676,1.0,8.857,677.0,1.6666666666666667,1.5,2.0,0.954434002924965,,2.5,1.0,4.0,0.954434002924965,,1.3333333333333333,2.0,3.0,1.0,
136,clumpy,21.0,314.0,0.043624362436243624,0.0,0.0,2.0,0.15263157894736842,0.8696195935383011,3.5,306.828,335.0,9.0,2.25,9.5,0.8000999091553516,,2.0,4.0,7.5,0.9012124912321989,,6.5,1.0,10.5,0.5097001719033261,
137,diffuse,446.0,494.0,0.6217457886676876,5.5,81.54850000000008,1.0,0.875,0.5239380292512179,1.0,126.285,875.0,1.0,2.75,3.0,0.4056390622295664,,1.0,2.25,2.5,0.8112781244591328,,1.0,2.5,2.5,0.5,
138,clumpy,660.5,0.0,1.0,3.5,41.89300000000003,0.0,0.29166666666666663,0.776077097505669,4.5,119.417,654.0,3.0,2.0,3.0,0.9591479170272448,,4.0,3.0,4.0,0.4591479170272448,,2.75,1.0,3.5,0.7306502730537434,
139,clumpy,3.0,2225.0,0.0013464991023339318,3.0,33.114999999999895,4.0,0.8,0.3917414721723519,1.0,68.025,2206.0,1.0,2.0,3.0,0.7219280948873623,,1.0,1.5,2.0,0.9709505944546686,,1.0,2.0,3.0,0.7219280948873623,
140,diffuse,12.0,1519.0,0.007838014369693011,1.0,19.47399999999999,3.0,0.2857142857142857,0.7391994028179527,5.0,175.794,1154.0,2.0,1.0,3.0,0.9852281360342515,,2.0,2.5,3.0,0.863120568566631,,2.5,1.0,4.0,0.863120568566631,
