participant_id,condition,n_visits,n_unique_topics,topic_concentration,topic_entropy,transition_entropy,same_topic_repeat_rate,style
157,diffuse,6,6,0.16666666666666666,0.7781512503836436,0.0,0.0,busybody
160,diffuse,12,4,0.5833333333333334,0.4858640574846479,0.13865223302188745,0.36363636363636365,hunter
161,clumpy,14,6,0.35714285714285715,0.6814744657982449,0.14659800028906791,0.3076923076923077,busybody
162,diffuse,14,7,0.35714285714285715,0.7244787508930993,0.12214179957344305,0.07692307692307693,busybody
163,clumpy,7,5,0.2857142857142857,0.673080899634839,0.1505149978319906,0.0,busybody
164,clumpy,24,6,0.3333333333333333,0.6793845257084189,0.2499152592319203,0.30434782608695654,busybody
165,clumpy,5,3,0.4,0.45814600780483383,0.0,0.0,hunter
166,diffuse,14,6,0.35714285714285715,0.6920153535355189,0.1662958159919255,0.23076923076923078,busybody
168,clumpy,15,5,0.4,0.5917034247016868,0.2258705823983244,0.42857142857142855,busybody
169,clumpy,20,7,0.45,0.7097436795091414,0.12491551721147667,0.47368421052631576,hunter
170,clumpy,16,6,0.5,0.6254860044420186,0.15937708405912956,0.5333333333333333,hunter
171,clumpy,8,4,0.375,0.5736545186400797,0.14436614665191405,0.14285714285714285,busybody
172,clumpy,28,7,0.35714285714285715,0.7646376305171957,0.3646921657254717,0.2962962962962963,busybody
173,clumpy,34,5,0.4117647058823529,0.6022307217233571,0.22128799839838253,0.42424242424242425,busybody
174,clumpy,11,5,0.36363636363636365,0.6582635997677037,0.17569891645432748,0.2,busybody
176,diffuse,11,4,0.36363636363636365,0.5828723476921558,0.21962364556790936,0.3,busybody
177,clumpy,10,5,0.5,0.5903089986991944,0.12958800173440752,0.5555555555555556,hunter
178,clumpy,8,5,0.375,0.6489120175560749,0.1945378125959109,0.2857142857142857,busybody
179,clumpy,5,2,0.8,0.2173220112736489,0.24421905028821556,0.75,hunter
181,clumpy,8,3,0.5,0.4515449934959718,0.08140635009607186,0.42857142857142855,hunter
183,diffuse,10,4,0.3,0.5933152489026101,0.21962364556790936,0.2222222222222222,busybody
184,clumpy,16,8,0.25,0.8512585011900046,0.16625494697095117,0.26666666666666666,busybody
185,clumpy,17,7,0.29411764705882354,0.7769624530855782,0.21166399900890998,0.3125,busybody
186,clumpy,7,4,0.42857142857142855,0.5546089320875497,0.06910864773591875,0.5,hunter
188,diffuse,18,4,0.4444444444444444,0.5149952183035063,0.4267861126917682,0.35294117647058826,busybody
189,clumpy,11,5,0.2727272727272727,0.6716792750696888,0.21091716826546372,0.3,busybody
190,clumpy,16,5,0.3125,0.64703311117894,0.23722511844889613,0.26666666666666666,busybody
191,clumpy,10,4,0.4,0.55583362792012,0.2257724967479859,0.3333333333333333,busybody
192,clumpy,11,6,0.2727272727272727,0.7470705271452366,0.20068666377598746,0.0,busybody
193,clumpy,11,4,0.45454545454545453,0.5594808673705904,0.2257724967479859,0.4,busybody
194,clumpy,37,7,0.32432432432432434,0.7372046338561612,0.29148972463514455,0.4166666666666667,busybody
195,diffuse,19,7,0.2631578947368421,0.7857074163929405,0.2269256823285486,0.3333333333333333,busybody
196,clumpy,8,6,0.25,0.752574989159953,0.050171665943996864,0.14285714285714285,busybody
197,diffuse,8,4,0.375,0.5736545186400797,0.1945378125959109,0.2857142857142857,busybody
198,clumpy,5,5,0.2,0.6989700043360187,0.0,0.0,busybody
199,clumpy,9,5,0.4444444444444444,0.6197647364793458,0.06020599913279624,0.375,hunter
200,diffuse,7,5,0.42857142857142855,0.6406175022772587,0.11928031367991561,0.16666666666666666,hunter
201,diffuse,26,7,0.2692307692307692,0.772091519090177,0.2502422541631691,0.32,busybody
202,clumpy,21,5,0.6190476190476191,0.4892876977516008,0.09472826668580356,0.35,hunter
203,diffuse,17,8,0.35294117647058826,0.8007788479008167,0.09419448070791718,0.25,busybody
205,diffuse,6,4,0.3333333333333333,0.5774645866076562,0.0752574989159953,0.2,busybody
206,diffuse,12,5,0.5,0.5708253071758874,0.22909213646387028,0.2727272727272727,hunter
207,clumpy,10,5,0.3,0.6535212480354063,0.15563025007672873,0.2222222222222222,busybody
208,diffuse,7,4,0.42857142857142855,0.5546089320875498,0.1505149978319906,0.3333333333333333,hunter
209,diffuse,8,5,0.5,0.6020599913279624,0.11288624837399296,0.2857142857142857,hunter
210,diffuse,10,5,0.3,0.6535212480354063,0.2134747943878328,0.4444444444444444,busybody
211,clumpy,9,5,0.2222222222222222,0.6866602910713417,0.12041199826559248,0.0,busybody
212,diffuse,5,3,0.6,0.4126972515042214,0.1382172954718375,0.5,hunter
213,clumpy,26,9,0.3076923076923077,0.8504855182256581,0.2306639206106437,0.32,busybody
