spatial,wiki,n,r_pearson,p_pearson,rho_spearman,p_spearman,r_partial,p_partial,p_fdr,fdr_significant
collection_rate_sd,PC1,132,0.08215451636254946,0.3490207957126175,0.12152670903229415,0.16510467307943624,0.08079596706204087,0.3589382521777438,0.7605039333765344,False
collection_rate_sd,seq_typing_mean_run_explore,130,0.08815223155908708,0.3186063692450147,0.12122891900115818,0.1694585593009204,0.05357717677955161,0.5464886334302483,0.7545940324224031,False
collection_rate_sd,seq_typing_entropy,132,-0.12033079094305965,0.169334419785108,-0.1293205996153968,0.13944466929649327,0.013192772700029703,0.8811137406372893,0.730097857471973,False
path_length_mean,count_time,132,-0.034578095883881305,0.6938680486655717,-0.08833048860612952,0.313858892669241,-0.03868332878006084,0.6608993587144989,0.9556464431004119,False
path_length_mean,count_topic,132,-0.11197958881093849,0.20113113354175452,-0.11470985319703518,0.19029441503116232,-0.13508070342294692,0.12397257235216586,0.730097857471973,False
path_length_mean,count_typing,132,-0.019394497167475978,0.8253048333623838,-0.006243280453344862,0.9433593289498304,-0.027992785496148195,0.7509525482205948,0.9556464431004119,False
path_length_mean,PC1,132,-0.0946332407748906,0.2804377984189078,-0.11010170079140415,0.20883856187008806,-0.11410704943553551,0.1943763660395308,0.7423353487559324,False
path_length_mean,seq_typing_mean_run_explore,130,-0.11064077682640777,0.21014512280001418,-0.11567423532536476,0.19000810900098516,-0.1403645274143817,0.11260723297469477,0.7416886687059323,False
path_length_mean,seq_typing_entropy,132,0.0010608653559913566,0.9903677797556123,-0.01511302226651793,0.863442449955655,0.05105498244081908,0.5625025593618449,0.9959005606481017,False
path_length_sd,count_time,132,-0.13039504937135785,0.1361594610078328,-0.1211077068533723,0.16657756928061104,-0.13384846906913006,0.12747124712785518,0.730097857471973,False
path_length_sd,count_topic,132,-0.17832300704056345,0.04078433090925558,-0.1671704787670218,0.05538043062309027,-0.19119270137872074,0.028702459004660508,0.730097857471973,False
path_length_sd,count_typing,132,-0.0691630273142023,0.4306913809210043,-0.028129240649182506,0.7488395373464246,-0.0745901118723201,0.39715064822594437,0.7846025736555778,False
