condition,spatial,wiki,n,r_pearson,p_pearson,rho_spearman,p_spearman,p_fdr,fdr_significant
Clumpy,levy_alpha_mean,PC1,72,-0.10361335975323377,0.3864156320323551,-0.06845096937867107,0.5677751424337214,0.9068835643557314,False
Clumpy,levy_alpha_mean,seq_typing_mean_run_explore,70,0.04163826944524574,0.7321653306972231,0.0006486802924530078,0.9957476735468531,0.9643538331354592,False
Clumpy,levy_alpha_mean,seq_typing_entropy,72,-0.0933695561750275,0.43532761342073917,0.009698588387364983,0.9355558027417108,0.9068835643557314,False
Clumpy,levy_alpha_sd,count_time,72,0.03580964671086431,0.7652202255803693,0.051343674470983744,0.6684156536818748,0.9643538331354592,False
Clumpy,levy_alpha_sd,count_topic,72,0.013583800787550969,0.909832113700649,0.03588450368174418,0.7647435931279332,0.9809282801167984,False
Clumpy,levy_alpha_sd,count_typing,72,0.00290796819397652,0.9806586798254553,0.073485508829756,0.5395705285459166,0.986137219936212,False
Clumpy,levy_alpha_sd,PC1,72,0.018624043015279416,0.8766022239964248,0.04080976360249081,0.7335826345896636,0.9784752143430504,False
Clumpy,levy_alpha_sd,seq_typing_mean_run_explore,70,-0.0873677365280105,0.47202618824826514,-0.13441589983146326,0.26725835945797327,0.9068835643557314,False
Clumpy,levy_alpha_sd,seq_typing_entropy,72,0.10865693979434952,0.3635916748735643,0.08064399874197276,0.5006870922804414,0.9068835643557314,False
Diffuse,explore_dur_mean_mean,count_time,60,-0.013483832185438152,0.9185560133144066,-0.023733047396312466,0.8571576473555609,0.9690647495399429,False
Diffuse,explore_dur_mean_mean,count_topic,60,0.0631651211693688,0.6316101423639711,0.011861682182634175,0.9283265289143666,0.9690647495399429,False
Diffuse,explore_dur_mean_mean,count_typing,60,-0.05437934697969232,0.6798517862569868,-0.07693697032028542,0.5590306836457509,0.9690647495399429,False
Diffuse,explore_dur_mean_mean,PC1,60,0.03601662400719971,0.7846967917873051,-0.019370258446758326,0.8832118722197646,0.9690647495399429,False
Diffuse,explore_dur_mean_mean,seq_typing_mean_run_explore,60,-0.12761467581473487,0.33120713685856046,-0.12031953131581273,0.3598146369930345,0.8960796658866635,False
Diffuse,explore_dur_mean_mean,seq_typing_entropy,60,0.0718845628314027,0.5851971126177181,0.0794595331161777,0.546176867990515,0.9690647495399429,False
Diffuse,explore_dur_mean_sd,count_time,60,0.08408729356927527,0.5229734570758745,0.05783886186318755,0.6606896622764326,0.9690647495399429,False
Diffuse,explore_dur_mean_sd,count_topic,60,0.14427474820599295,0.27141719687148474,0.11610627480583785,0.37700426578797747,0.8960796658866635,False
Diffuse,explore_dur_mean_sd,count_typing,60,0.07210671624948117,0.5840350215721235,0.16210175915338018,0.2159294618807376,0.9690647495399429,False
Diffuse,explore_dur_mean_sd,PC1,60,0.13545183829025148,0.30211923883794234,0.11505273437949455,0.38137842103998765,0.8960796658866635,False
Diffuse,explore_dur_mean_sd,seq_typing_mean_run_explore,60,0.15462647666208731,0.23814075708763321,0.04848421985159004,0.7129676334306754,0.8960796658866635,False
Diffuse,explore_dur_mean_sd,seq_typing_entropy,60,-0.04322762989189894,0.7429498927577997,-0.012844574628805195,0.9224050331094892,0.9690647495399429,False
Diffuse,explore_dur_median_mean,count_time,60,-0.016087047797353024,0.9029019562741524,-0.02830302580812455,0.8300281707569457,0.9690647495399429,False
Diffuse,explore_dur_median_mean,count_topic,60,0.06405815655347914,0.6267868377428408,0.0068716913231946525,0.9584420168246248,0.9690647495399429,False
Diffuse,explore_dur_median_mean,count_typing,60,-0.06115066017981732,0.6425462916362421,-0.08689819370000515,0.5091245021690619,0.9690647495399429,False
Diffuse,explore_dur_median_mean,PC1,60,0.03515148038503885,0.7897487800672099,-0.024567157054425193,0.8521927485529005,0.9690647495399429,False
Diffuse,explore_dur_median_mean,seq_typing_mean_run_explore,60,-0.12882528045533873,0.3266024094506715,-0.12779591304376028,0.33051518231166316,0.8960796658866635,False
Diffuse,explore_dur_median_mean,seq_typing_entropy,60,0.06707968829675694,0.6105833249217407,0.06411255541144359,0.626493527097233,0.9690647495399429,False
Diffuse,explore_dur_median_sd,count_time,60,0.0730933000740637,0.5788868594176808,0.04982048353411743,0.7054122128502486,0.9690647495399429,False
Diffuse,explore_dur_median_sd,count_topic,60,0.1274041186383242,0.3320121782791642,0.11819702405204141,0.36841346252534196,0.8960796658866635,False
Diffuse,explore_dur_median_sd,count_typing,60,0.076312689182116,0.5622336654918201,0.1760359264755632,0.17849030818821746,0.9690647495399429,False
Diffuse,explore_dur_median_sd,PC1,60,0.12107763360839227,0.35677336986375896,0.1145802956151343,0.38334973207229256,0.8960796658866635,False
Diffuse,explore_dur_median_sd,seq_typing_mean_run_explore,60,0.14489270117830272,0.26934781908578326,0.05570942867872572,0.672459837694365,0.8960796658866635,False
Diffuse,explore_dur_median_sd,seq_typing_entropy,60,-0.02112976111392053,0.8726878546512181,0.03277868720208079,0.803648313989911,0.9690647495399429,False
Diffuse,exploit_dur_mean_mean,count_time,49,-0.07517490345838093,0.6076945524464107,0.06307615927403212,0.6667854099863236,0.9690647495399429,False
Diffuse,exploit_dur_mean_mean,count_topic,49,0.03571545119890064,0.8075159926337703,0.12016251401097744,0.4108439230330552,0.9690647495399429,False
Diffuse,exploit_dur_mean_mean,count_typing,49,0.0741263674860715,0.6127255595874156,0.12666023761700257,0.38581407582180943,0.9690647495399429,False
Diffuse,exploit_dur_mean_mean,PC1,49,0.01996499487616439,0.8916942882063836,0.1269582093765898,0.3846883214018808,0.9690647495399429,False
Diffuse,exploit_dur_mean_mean,seq_typing_mean_run_explore,49,0.14490920337575797,0.32049826631525485,0.09309533171916698,0.5246275964165545,0.8960796658866635,False
Diffuse,exploit_dur_mean_mean,seq_typing_entropy,49,-0.1527184168021646,0.2948265492476737,-0.23239315517055437,0.1080889797364486,0.8960796658866635,False
Diffuse,exploit_dur_mean_sd,count_time,40,0.01995489416843294,0.9027280382963176,0.14930100316112382,0.3578403801363502,0.9690647495399429,False
Diffuse,exploit_dur_mean_sd,count_topic,40,0.15925097327103585,0.3263284308445862,0.2948544582617005,0.06474844169816342,0.8960796658866635,False
Diffuse,exploit_dur_mean_sd,count_typing,40,0.12327956428898305,0.4485333808115797,0.02376766282452,0.8842579394016369,0.8960796658866635,False
Diffuse,exploit_dur_mean_sd,PC1,40,0.14085981515279355,0.3859638158270997,0.25350659349416055,0.11447786428206382,0.8960796658866635,False
Diffuse,exploit_dur_mean_sd,seq_typing_mean_run_explore,40,0.1283540676541866,0.4299286222549773,0.25428127187568295,0.11333708482126341,0.8960796658866635,False
Diffuse,exploit_dur_mean_sd,seq_typing_entropy,40,-0.1865446401411251,0.24909440898212598,-0.40685295228196117,0.009177888598787596,0.8960796658866635,False
Diffuse,exploit_dur_median_mean,count_time,49,-0.06716586720097018,0.6465629909226895,0.06235587686796651,0.6703719115978833,0.9690647495399429,False
Diffuse,exploit_dur_median_mean,count_topic,49,0.047756649975785465,0.7445358834700757,0.12118648089645659,0.4068387550272993,0.9690647495399429,False
Diffuse,exploit_dur_median_mean,count_typing,49,0.07251969064377518,0.6204689187723812,0.12182865349133347,0.404338490378356,0.9690647495399429,False
Diffuse,exploit_dur_median_mean,PC1,49,0.03051116120994858,0.8351407937538563,0.1267540964997786,0.3854592616932681,0.9690647495399429,False
Diffuse,exploit_dur_median_mean,seq_typing_mean_run_explore,49,0.17463226477100618,0.23009399314937518,0.10292718193373246,0.48158028924094787,0.8960796658866635,False
Diffuse,exploit_dur_median_mean,seq_typing_entropy,49,-0.16573238848888644,0.25509149712401835,-0.22432678467034617,0.12124403501727374,0.8960796658866635,False
Diffuse,exploit_dur_median_sd,count_time,40,0.03213444503131724,0.8439510497091021,0.1527092695617582,0.3468455439685798,0.9690647495399429,False
Diffuse,exploit_dur_median_sd,count_topic,40,0.17079231591350214,0.2920206341090353,0.29023852584801896,0.06925516558373668,0.8960796658866635,False
Diffuse,exploit_dur_median_sd,count_typing,40,0.121186221922823,0.45633410959684206,0.023194948057664096,0.8870287174161778,0.8960796658866635,False
Diffuse,exploit_dur_median_sd,PC1,40,0.15180664415062745,0.34973705147360684,0.2531313061610826,0.11503361530256416,0.8960796658866635,False
Diffuse,exploit_dur_median_sd,seq_typing_mean_run_explore,40,0.15617933767904751,0.3358659743780804,0.24551295215583188,0.12676073881705646,0.8960796658866635,False
Diffuse,exploit_dur_median_sd,seq_typing_entropy,40,-0.20698054545396136,0.20002532047438892,-0.4414927167932772,0.004346688099984661,0.8960796658866635,False
Diffuse,pct_time_exploit_mean,count_time,60,-2.2547799776360955e-05,0.9998635773882689,0.06378154189571192,0.6282791917570462,0.9998635773882689,False
Diffuse,pct_time_exploit_mean,count_topic,60,0.015171851729611765,0.908401474373532,0.09344984476735514,0.47758716291633674,0.9690647495399429,False
Diffuse,pct_time_exploit_mean,count_typing,60,0.112391335600719,0.3925624791063843,0.1306033724950604,0.31991297566256377,0.8960796658866635,False
Diffuse,pct_time_exploit_mean,PC1,60,0.02656690768792999,0.8403131244668085,0.11189364590618804,0.3946752116818506,0.9690647495399429,False
