measure,feature,n,rho,p,p_FDR,fdr_significant
AUT Broom - Number of Answers,mean_dwell,105,-0.11182082970749666,0.25609371135969905,0.6196351655618164,False
Verbal Fluency - Number of Answers,n_unique_pages,107,0.11031731563436206,0.2579774318202381,0.6196351655618164,False
AQT Pillow - Number of Answers,mean_dwell,105,-0.10954602449548412,0.26595442122475904,0.6196351655618164,False
Curiosity - Score,mean_step_distance,100,-0.11195616138058365,0.2674402842055985,0.6196351655618164,False
AQT Complexity Score,var_dwell,105,-0.10906640416913964,0.26806589448106916,0.6196351655618164,False
AQT Pencil - Originality,var_dwell,105,-0.10744883587314127,0.27527057556991424,0.6196351655618164,False
Verbal Fluency - Forward Flow,path_breadth,107,0.10622961363853019,0.2761424301991515,0.6196351655618164,False
AUT Belt - Number of Answers,n_pages,107,0.10583829195407234,0.27792539618695944,0.6196351655618164,False
AQT Pillow - Originality,var_step_distance,99,-0.11005989846251443,0.27815520257999843,0.6196351655618164,False
AUT Broom - Number of Answers,mean_step_distance,100,0.1081475404718223,0.2841588643985159,0.6196351655618164,False
AQT Complexity Score,mean_step_distance,100,-0.1081068106810681,0.2843413376301486,0.6196351655618164,False
AQT Pillow - Originality,path_breadth,106,-0.10445519294269533,0.28660500182734894,0.6196351655618164,False
Verbal Fluency - Number of Answers,n_searches,107,0.1034097328822664,0.289163077262181,0.6196351655618164,False
GF - Score,clustering,107,0.1024708418702089,0.2935873684884759,0.6222775745136174,False
AUT Broom - Originality,forward_flow,100,0.10482034385503344,0.2993225274745858,0.6276117511563896,False
AUT Broom - Number of Answers,clustering,107,0.10053098102197358,0.30286955891171696,0.6282932339126043,False
AUT Broom - Number of Answers,n_pages,107,0.09945583805446007,0.30809603843971894,0.630615312680377,False
AQT Pillow - Number of Answers,revisit_rate,105,0.09974565579553334,0.3113557767310281,0.630615312680377,False
AQT Pencil - Number of Answers,revisit_rate,105,0.09863707842105482,0.31679098132782907,0.630615312680377,False
Verbal Fluency - Forward Flow,n_searches,107,0.0968339216224796,0.32108680403153506,0.630615312680377,False
AUT Broom - Number of Answers,path_breadth,107,0.0963056163559707,0.32374646529863793,0.630615312680377,False
AUT Broom - Originality,clustering,107,0.09546549250438179,0.32800497230413245,0.630615312680377,False
AUT Belt - Number of Answers,clustering,107,0.0952853098611638,0.3289229445402984,0.630615312680377,False
AQT Pencil - Number of Answers,forward_flow,100,0.09813968619598523,0.331346274261045,0.630615312680377,False
AUT Belt - Originality,mean_step_distance,100,0.09778722495433809,0.3330942420824555,0.630615312680377,False
AUT Broom - Originality,revisit_rate,105,0.09368946674726812,0.3417910355204616,0.6391307505577076,False
Verbal Fluency - Number of Answers,path_breadth,107,0.09191275627705008,0.34640726900201535,0.6391307505577076,False
Curiosity - Score,forward_flow,100,-0.09467659906947894,0.34877417512489167,0.6391307505577076,False
AUT Belt - Number of Answers,path_breadth,107,0.09110075117556245,0.3507025144085883,0.6391307505577076,False
